split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,1,0,,insufficient_models
0,0,0.05,full_set,1,0,,insufficient_models
0,0,0.1,full_set,1,0,,insufficient_models
0,0,0.2,full_set,2,1,0.9463364293085655,ok
0,0,0.3,full_set,3,3,0.8968008255933952,ok
0,1,0.02,full_set,1,0,,insufficient_models
0,1,0.05,full_set,1,0,,insufficient_models
0,1,0.1,full_set,1,0,,insufficient_models
0,1,0.2,full_set,2,1,0.9380804953560371,ok
0,1,0.3,full_set,3,3,0.893360853113175,ok
0,2,0.02,full_set,1,0,,insufficient_models
0,2,0.05,full_set,1,0,,insufficient_models
0,2,0.1,full_set,1,0,,insufficient_models
0,2,0.2,full_set,2,1,0.9463364293085655,ok
0,2,0.3,full_set,3,3,0.9016167870657035,ok
1,0,0.02,full_set,1,0,,insufficient_models
1,0,0.05,full_set,3,3,0.781905744754042,ok
1,0,0.1,full_set,3,3,0.781905744754042,ok
1,0,0.2,full_set,3,3,0.781905744754042,ok
1,0,0.3,full_set,3,3,0.781905744754042,ok
1,1,0.02,full_set,1,0,,insufficient_models
1,1,0.05,full_set,3,3,0.7764017887856897,ok
1,1,0.1,full_set,3,3,0.7764017887856897,ok
1,1,0.2,full_set,3,3,0.7764017887856897,ok
1,1,0.3,full_set,3,3,0.7764017887856897,ok
1,2,0.02,full_set,1,0,,insufficient_models
1,2,0.05,full_set,3,3,0.7633298933608531,ok
1,2,0.1,full_set,3,3,0.7633298933608531,ok
1,2,0.2,full_set,3,3,0.7633298933608531,ok
1,2,0.3,full_set,3,3,0.7633298933608531,ok
2,0,0.02,full_set,3,3,0.8266253869969041,ok
2,0,0.05,full_set,3,3,0.8266253869969041,ok
2,0,0.1,full_set,3,3,0.8266253869969041,ok
2,0,0.2,full_set,3,3,0.8266253869969041,ok
2,0,0.3,full_set,3,3,0.8266253869969041,ok
2,1,0.02,full_set,3,3,0.8424492604059166,ok
2,1,0.05,full_set,3,3,0.8424492604059166,ok
2,1,0.1,full_set,3,3,0.8424492604059166,ok
2,1,0.2,full_set,3,3,0.8424492604059166,ok
2,1,0.3,full_set,3,3,0.8424492604059166,ok
2,2,0.02,full_set,3,3,0.8410732714138288,ok
2,2,0.05,full_set,3,3,0.8410732714138288,ok
2,2,0.1,full_set,3,3,0.8410732714138288,ok
2,2,0.2,full_set,3,3,0.8410732714138288,ok
2,2,0.3,full_set,3,3,0.8410732714138288,ok
