split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,1,0,,insufficient_models
0,0,0.05,full_set,1,0,,insufficient_models
0,0,0.1,full_set,1,0,,insufficient_models
0,0,0.2,full_set,1,0,,insufficient_models
0,0,0.3,full_set,1,0,,insufficient_models
0,1,0.02,full_set,1,0,,insufficient_models
0,1,0.05,full_set,1,0,,insufficient_models
0,1,0.1,full_set,1,0,,insufficient_models
0,1,0.2,full_set,3,3,0.9401444788441692,ok
0,1,0.3,full_set,4,6,0.9387684898520811,ok
0,2,0.02,full_set,1,0,,insufficient_models
0,2,0.05,full_set,1,0,,insufficient_models
0,2,0.1,full_set,1,0,,insufficient_models
0,2,0.2,full_set,3,3,0.9442724458204333,ok
0,2,0.3,full_set,4,6,0.9404884760921912,ok
1,0,0.02,full_set,1,0,,insufficient_models
1,0,0.05,full_set,2,1,0.9690402476780186,ok
1,0,0.1,full_set,2,1,0.9690402476780186,ok
1,0,0.2,full_set,3,3,0.9662882696938424,ok
1,0,0.3,full_set,4,6,0.9570003439972479,ok
1,1,0.02,full_set,1,0,,insufficient_models
1,1,0.05,full_set,2,1,0.9752321981424149,ok
1,1,0.1,full_set,2,1,0.9752321981424149,ok
1,1,0.2,full_set,3,3,0.9690402476780187,ok
1,1,0.3,full_set,4,6,0.9611283109735123,ok
1,2,0.02,full_set,1,0,,insufficient_models
1,2,0.05,full_set,2,1,0.9587203302373581,ok
1,2,0.1,full_set,2,1,0.9587203302373581,ok
1,2,0.2,full_set,4,6,0.9590643274853802,ok
1,2,0.3,full_set,6,15,0.9665634674922601,ok
2,0,0.02,full_set,1,0,,insufficient_models
2,0,0.05,full_set,1,0,,insufficient_models
2,0,0.1,full_set,2,1,0.9009287925696594,ok
2,0,0.2,full_set,3,3,0.9098727210182318,ok
2,0,0.3,full_set,3,3,0.9098727210182318,ok
2,1,0.02,full_set,1,0,,insufficient_models
2,1,0.05,full_set,1,0,,insufficient_models
2,1,0.1,full_set,2,1,0.9195046439628484,ok
2,1,0.2,full_set,3,3,0.91468868249054,ok
2,1,0.3,full_set,3,3,0.91468868249054,ok
2,2,0.02,full_set,1,0,,insufficient_models
2,2,0.05,full_set,1,0,,insufficient_models
2,2,0.1,full_set,2,1,0.9071207430340558,ok
2,2,0.2,full_set,3,3,0.9084967320261438,ok
2,2,0.3,full_set,3,3,0.9084967320261438,ok
