split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_exact,0,0,,insufficient_models
0,0,0.05,tree_exact,0,0,,insufficient_models
0,0,0.1,tree_exact,1,0,,insufficient_models
0,0,0.2,tree_exact,9,36,0.9598484848484853,ok
0,0,0.3,tree_exact,13,78,0.9480186480186479,ok
0,1,0.02,tree_exact,0,0,,insufficient_models
0,1,0.05,tree_exact,1,0,,insufficient_models
0,1,0.1,tree_exact,7,21,0.9264069264069266,ok
0,1,0.2,tree_exact,14,91,0.9205794205794207,ok
0,1,0.3,tree_exact,16,120,0.9233333333333335,ok
0,2,0.02,tree_exact,0,0,,insufficient_models
0,2,0.05,tree_exact,0,0,,insufficient_models
0,2,0.1,tree_exact,1,0,,insufficient_models
0,2,0.2,tree_exact,9,36,0.8952020202020202,ok
0,2,0.3,tree_exact,16,120,0.8916666666666668,ok
1,0,0.02,tree_exact,3,3,0.993939393939394,ok
1,0,0.05,tree_exact,5,10,0.9781818181818182,ok
1,0,0.1,tree_exact,10,45,0.9361616161616163,ok
1,0,0.2,tree_exact,14,91,0.933066933066933,ok
1,0,0.3,tree_exact,14,91,0.933066933066933,ok
1,1,0.02,tree_exact,1,0,,insufficient_models
1,1,0.05,tree_exact,1,0,,insufficient_models
1,1,0.1,tree_exact,6,15,0.9721212121212122,ok
1,1,0.2,tree_exact,14,91,0.9412587412587413,ok
1,1,0.3,tree_exact,16,120,0.9222727272727272,ok
1,2,0.02,tree_exact,1,0,,insufficient_models
1,2,0.05,tree_exact,5,10,0.9645454545454546,ok
1,2,0.1,tree_exact,8,28,0.944805194805195,ok
1,2,0.2,tree_exact,15,105,0.9264069264069265,ok
1,2,0.3,tree_exact,16,120,0.922348484848485,ok
